2024-01-01 00:00:00,Новый Год
2024-01-07 00:00:00,Рождество Христово
2024-01-11 00:00:00,День заповедников и национальных парков России
2024-01-12 00:00:00,День работника прокуратуры Российской Федерации
2024-01-13 00:00:00,День Российской печати
2024-01-14 00:00:00,Старый Новый год
2024-01-14 00:00:00,День создания трубопроводных войск России
2024-01-15 00:00:00,День образования Следственного комитета Российской федерации
2024-01-19 00:00:00,Крещение Господне
2024-01-20 00:00:00,День Республики Крым
2024-01-21 00:00:00,День инженерных войск России
2024-01-25 00:00:00,День российского студенчества (Татьянин день)
2024-01-25 00:00:00,День штурмана Военно-Морского Флота России
2024-01-27 00:00:00,День воинской славы России - День полного освобождения Ленинграда от фашистской блокады
2024-01-27 00:00:00,День памяти жертв Холокоста
2024-01-31 00:00:00,Международный день ювелира
2024-02-01 00:00:00,День работника лифтового хозяйства
2024-02-02 00:00:00,День воинской славы России - День разгрома советскими войсками немецко-фашистских войск в Сталинградской битве
2024-02-07 00:00:00,День российского бизнес-образования
2024-02-08 00:00:00,День российской науки
2024-02-08 00:00:00,День военного топографа в России
2024-02-09 00:00:00,День гражданской авиации России
2024-02-10 00:00:00,День зимних видов спорта в России
2024-02-10 00:00:00,День дипломатического работника в России
2024-02-14 00:00:00,День Святого Валентина (день влюбленных)
2024-02-15 00:00:00,День памяти о россиянах, исполнявших служебный долг за пределами России
2024-02-16 00:00:00,День архива Минэнерго
2024-02-17 00:00:00,День российских студенческих отрядов
2024-02-17 00:00:00,День Службы горючего Вооруженных Сил России
2024-02-18 00:00:00,транспортной полиции России
2024-02-18 00:00:00,День продовольственной и вещевой службы ВС России
2024-02-21 00:00:00,Международный день родного языка
2024-02-23 00:00:00,День защитника Отечества
2024-02-27 00:00:00,День Сил специальных операций в России
2024-03-01 00:00:00,День Забайкальского края
2024-03-01 00:00:00,День эксперта-криминалиста в России
2024-03-01 00:00:00,День хостинг-провайдера в России
2024-03-01 00:00:00,День кошек в России
2024-03-05 00:00:00,День театрального кассира
2024-03-08 00:00:00,Международный женский день
2024-03-10 00:00:00,День архивов в России
2024-03-11 00:00:00,День работников геодезии и картографии России
2024-03-11 00:00:00,День работника органов наркоконтроля России
2024-03-11 00:00:00,День сотрудников частных охранных агентств в России
2024-03-12 00:00:00,День работника уголовно-исполнительной системы России
2024-03-18 00:00:00,День воссоединения Крыма с Россией
2024-03-18 00:00:00,День работников бытового обслуживания населения и жилищно-коммунального хозяйства в России
2024-03-19 00:00:00,День моряка-подводника в России
2024-03-22 00:00:00,Всемирный день водных ресурсов
2024-03-23 00:00:00,День работников гидрометеорологической службы России
2024-03-24 00:00:00,День штурманской службы ВВС России
2024-03-25 00:00:00,День работника культуры России
2024-03-27 00:00:00,Всемирный день театра
2024-03-29 00:00:00,День специалиста юридической службы ВС России
2024-04-01 00:00:00,День смеха (День дурака)
2024-04-02 00:00:00,День единения народов России и Беларуси
2024-04-05 00:00:00,День принятия Степного Уложения (Конституции) Республики Калмыкия
2024-04-06 00:00:00,День работников следственных органов МВД России
2024-04-07 00:00:00,День памяти погибших подводников
2024-04-08 00:00:00,День Российской анимации
2024-04-08 00:00:00,День войск противовоздушной обороны России
2024-04-08 00:00:00,День сотрудников военных комиссариатов в России
2024-04-11 00:00:00,День конституции Республики Крым
2024-04-12 00:00:00,День космонавтики
2024-04-13 00:00:00,День мецената и благотворителя в России
2024-04-15 00:00:00,День специалиста по радиоэлектронной борьбе ВС России
2024-04-17 00:00:00,День ветеранов органов внутренних дел и внутренних войск МВД России
2024-04-18 00:00:00,Международный день памятников и исторических мест
2024-04-19 00:00:00,День российской полиграфии
